CHROMATOGRAM,
GC27_1.raw,
Data points: 42010,
Time,Intensity
0.686667,4507
0.688333,4506
0.69,4508
0.691667,4510
0.693333,4511
0.695,4512
0.696667,4511
0.698333,4512
0.7,4512
0.701667,4513
0.703333,4513
0.705,4513
0.706667,4513
0.708333,4513
0.71,4512
0.711667,4512
0.713333,4511
0.715,4513
0.716667,4515
0.718333,4518
0.72,4517
0.721667,4517
0.723333,4515
0.725,4514
0.726667,4512
0.728333,4510
0.73,4509
0.731667,4510
0.733333,4508
0.735,4507
0.736667,4507
0.738333,4509
0.74,4508
0.741667,4510
0.743333,4508
0.745,4507
0.746667,4504
0.748333,4505
0.75,4504
0.751667,4506
0.753333,4509
0.755,4513
0.756667,4515
0.758333,4517
0.76,4516
0.761667,4514
0.763333,4512
0.765,4511
0.766667,4508
0.768333,4506
0.77,4505
0.771667,4504
0.773333,4505
0.775,4505
0.776667,4504
0.778333,4504
0.78,4504
0.781667,4505
0.783333,4504
0.785,4504
0.786667,4503
0.788333,4502
0.79,4503
0.791667,4503
0.793333,4503
0.795,4502
0.796667,4500
0.798333,4501
0.8,4499
0.801667,4497
0.803333,4496
0.805,4497
0.806667,4499
0.808333,4498
0.81,4499
0.811667,4497
0.813333,4497
0.815,4497
0.816667,4492
0.818333,4491
0.82,4493
0.821667,4495
0.823333,4496
0.825,4497
0.826667,4498
0.828333,4500
0.83,4501
0.831667,4500
0.833333,4498
0.835,4499
0.836667,4499
0.838333,4498
0.84,4496
0.841667,4495
0.843333,4491
0.845,4492
0.846667,4493
0.848333,4491
0.85,4490
0.851667,4490
0.853333,4488
0.855,4487
0.856667,4488
0.858333,4490
0.86,4491
0.861667,4495
0.863333,4496
0.865,4495
0.866667,4494
0.868333,4493
0.87,4491
0.871667,4491
0.873333,4494
0.875,4497
0.876667,4498
0.878333,4500
0.88,4502
0.881667,4503
0.883333,4502
0.885,4499
0.886667,4497
0.888333,4494
0.89,4492
0.891667,4491
0.893333,4489
0.895,4488
0.896667,4490
0.898333,4489
0.9,4490
0.901667,4490
0.903333,4491
0.905,4492
0.906667,4492
0.908333,4493
0.91,4491
0.911667,4489
0.913333,4488
0.915,4485
0.916667,4484
0.918333,4484
0.92,4485
0.921667,4487
0.923333,4490
0.925,4492
0.926667,4492
0.928333,4494
0.93,4492
0.931667,4493
0.933333,4492
0.935,4492
0.936667,4493
0.938333,4494
0.94,4495
0.941667,4493
0.943333,4491
0.945,4491
0.946667,4490
0.948333,4491
0.95,4488
0.951667,4487
0.953333,4487
0.955,4488
0.956667,4487
0.958333,4487
0.96,4486
0.961667,4486
0.963333,4485
0.965,4485
0.966667,4482
0.968333,4482
0.97,4482
0.971667,4483
0.973333,4482
0.975,4481
0.976667,4481
0.978333,4480
0.98,4477
0.981667,4475
0.983333,4472
0.985,4470
0.986667,4467
0.988333,4466
0.99,4465
0.991667,4465
0.993333,4468
0.995,4468
0.996667,4468
0.998333,4468
1,4467
1.001667,4466
1.003333,4464
1.005,4463
1.006667,4461
1.008333,4461
1.01,4462
1.011667,4460
1.013333,4459
1.015,4459
1.016667,4459
1.018333,4459
1.02,4461
1.021667,4463
1.023333,4464
1.025,4468
1.026667,4469
1.028333,4467
1.03,4467
1.031667,4464
1.033333,4463
1.035,4462
1.036667,4461
1.038333,4460
1.04,4459
1.041667,4459
1.043333,4458
1.045,4458
1.046667,4460
1.048333,4461
1.05,4463
1.051667,4464
1.053333,4461
1.055,4460
1.056667,4459
1.058333,4457
1.06,4457
1.061667,4457
1.063333,4458
1.065,4460
1.066667,4460
1.068333,4461
1.07,4461
1.071667,4461
1.073333,4463
1.075,4464
1.076667,4463
1.078333,4458
1.08,4457
1.081667,4455
1.083333,4452
1.085,4451
1.086667,4451
1.088333,4453
1.09,4457
1.091667,4458
1.093333,4460
1.095,4461
1.096667,4464
1.098333,4463
1.1,4462
1.101667,4459
1.103333,4461
1.105,4461
1.106667,4461
1.108333,4460
1.11,4461
1.111667,4461
1.113333,4459
1.115,4456
1.116667,4455
1.118333,4455
1.12,4457
1.121667,4458
1.123333,4460
1.125,4461
1.126667,4462
1.128333,4461
1.13,4461
1.131667,4463
1.133333,4464
1.135,4463
1.136667,4463
1.138333,4464
1.14,4464
1.141667,4462
1.143333,4459
1.145,4459
1.146667,4458
1.148333,4459
1.15,4459
1.151667,4460
1.153333,4461
1.155,4464
1.156667,4467
1.158333,4468
1.16,4467
1.161667,4465
1.163333,4460
1.165,4457
1.166667,4455
1.168333,4454
1.17,4455
1.171667,4459
1.173333,4461
1.175,4462
1.176667,4461
1.178333,4459
1.18,4457
1.181667,4456
1.183333,4454
1.185,4453
1.186667,4455
1.188333,4456
1.19,4457
1.191667,4458
1.193333,4457
1.195,4456
1.196667,4455
1.198333,4452
1.2,4451
1.201667,4450
1.203333,4452
1.205,4452
1.206667,4452
1.208333,4453
1.21,4454
1.211667,4454
1.213333,4454
1.215,4456
1.216667,4456
1.218333,4456
1.22,4457
1.221667,4455
1.223333,4453
1.225,4452
1.226667,4453
1.228333,4453
1.23,4457
1.231667,4460
1.233333,4458
1.235,4457
1.236667,4457
1.238333,4453
1.24,4450
1.241667,4448
1.243333,4448
1.245,4449
1.246667,4454
1.248333,4456
1.25,4460
1.251667,4461
1.253333,4463
1.255,4462
1.256667,4461
1.258333,4459
1.26,4458
1.261667,4456
1.263333,4454
1.265,4454
1.266667,4454
1.268333,4454
1.27,4456
1.271667,4456
1.273333,4454
1.275,4454
1.276667,4453
1.278333,4454
1.28,4456
1.281667,4459
1.283333,4461
1.285,4462
1.286667,4462
1.288333,4459
1.29,4457
1.291667,4454
1.293333,4450
1.295,4449
1.296667,4450
1.298333,4451
1.3,4453
1.301667,4454
1.303333,4456
1.305,4458
1.306667,4459
1.308333,4459
1.31,4459
1.311667,4459
1.313333,4458
1.315,4458
1.316667,4455
1.318333,4454
1.32,4452
1.321667,4450
1.323333,4450
1.325,4451
1.326667,4452
1.328333,4452
1.33,4453
1.331667,4454
1.333333,4450
1.335,4449
1.336667,4447
1.338333,4447
1.34,4447
1.341667,4448
1.343333,4447
1.345,4449
1.346667,4452
1.348333,4454
1.35,4454
1.351667,4456
1.353333,4457
1.355,4456
1.356667,4455
1.358333,4454
1.36,4452
1.361667,4453
1.363333,4455
1.365,4454
1.366667,4455
1.368333,4456
1.37,4455
1.371667,4455
1.373333,4454
1.375,4453
1.376667,4452
1.378333,4451
1.38,4448
1.381667,4447
1.383333,4449
1.385,4450
1.386667,4451
1.388333,4453
1.39,4454
1.391667,4455
1.393333,4455
1.395,4453
1.396667,4453
1.398333,4456
1.4,4458
1.401667,4457
1.403333,4456
1.405,4455
1.406667,4454
1.408333,4451
1.41,4448
1.411667,4447
1.413333,4449
1.415,4450
1.416667,4449
1.418333,4450
1.42,4451
1.421667,4452
1.423333,4451
1.425,4452
1.426667,4452
1.428333,4453
1.43,4455
1.431667,4455
1.433333,4453
1.435,4454
1.436667,4452
1.438333,4451
1.44,4449
1.441667,4449
1.443333,4448
1.445,4446
1.446667,4448
1.448333,4451
1.45,4452
1.451667,4451
1.453333,4449
